month,day,hour,value
2,2,500,8.5
2,2,600,8.8
2,2,700,7.1
2,2,800,5.5
2,2,900,4.7
2,2,1000,3.7
2,2,1100,3.2
2,2,1200,2.7
2,2,1300,1.6
2,2,1400,1.2
2,2,1500,0.6
2,2,1600,0.4
2,2,1700,0.7
2,2,1800,0.6
2,2,1900,1.2
2,2,2000,1.2
2,2,2100,1.7
2,2,2200,2.2
2,2,2300,3.2
2,3,0,4.8
2,3,100,6.5
2,3,200,8.7
2,3,300,9.2
2,3,400,9.2
2,3,500,9
2,3,600,8.8
2,3,700,8.1
2,3,800,7.1
2,3,900,6.9
2,3,1000,6
2,3,1100,5.8
2,3,1200,5.3
2,3,1300,5
2,3,1400,4.5
2,3,1500,4.1
2,3,1600,3.9
2,3,1700,3.1
2,3,1800,2.9
2,3,1900,2.4
2,3,2000,2.9
2,3,2100,1.8
2,3,2200,2.5
2,3,2300,4.5
2,4,0,6.5
2,4,100,7.9
2,4,200,8.7
2,4,300,10.3
2,4,400,9.8
2,4,500,9.6
2,4,600,9.6
2,4,700,9.1
2,4,800,8.7
2,4,900,8.5
2,4,1000,8.5
2,4,1100,8.1
2,4,1200,7.7
2,4,1300,6.6
2,4,1400,5.5
2,4,1500,5.4
2,4,1600,5
2,4,1700,4.4
2,4,1800,4
2,4,1900,4
2,4,2000,4
2,4,2100,4
2,4,2200,4.1
2,4,2300,4
2,5,0,4
2,5,100,4.4
2,5,200,5
2,5,300,5.5
2,5,400,5.6
2,5,500,5
2,5,600,5
2,5,700,4.5
2,5,800,3.4
2,5,900,2
2,5,1000,1.5
2,5,1100,1.2
2,5,1200,0.8
2,5,1300,0.6
2,5,1400,0.5
2,5,1500,0.7
2,5,1600,0.6
2,5,1700,0.6
2,5,1800,0.6
2,5,1900,0.5
2,5,2000,0.4
2,5,2100,0.5
2,5,2200,0.6
2,5,2300,0.7
2,6,0,1.5
2,6,100,2.2
2,6,200,2.7
2,6,300,3.2
2,6,400,3.7
2,6,500,3.6
2,6,600,4
2,6,700,4
2,6,800,3.5
2,6,900,3
2,6,1000,2.5
2,6,1100,2
2,6,1200,1.7
2,6,1300,1.5
2,6,1400,1.3
2,6,1500,1.1
2,6,1600,1.1
2,6,1700,0.8
2,6,1800,0.6
2,6,1900,0.4
2,6,2000,0.2
2,6,2100,0
2,6,2200,0.1
2,6,2300,0.2
2,7,0,0.6
2,7,100,1.6
2,7,200,1.7
2,7,300,1.8
2,7,400,2.6
2,7,500,2.7
2,7,600,2.4
2,7,700,2.5
2,7,800,2.4
2,7,900,2.2
2,7,1000,2.2
2,7,1100,1.5
2,7,1200,0.8
2,7,1300,0.1
2,7,1400,-0.3
2,7,1500,-0.7
2,7,1600,-1.1
2,7,1700,-1.4
2,7,1800,-1.8
2,7,1900,-2
2,7,2000,-2.2
2,7,2100,-2.4
2,7,2200,-2
2,7,2300,-1.1
2,8,0,0.1
2,8,100,1.8
2,8,200,2.9
2,8,300,4.5
2,8,400,5.6
2,8,500,5.7
2,8,600,6
2,8,700,4.9
2,8,800,4
2,8,900,3.4
2,8,1000,2.6
2,8,1100,2.1
2,8,1200,1.5
2,8,1300,1.2
